anime_id,name,genre
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life"
16067,Nagi no Asukara,"Drama, Fantasy, Romance"
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi"
31490,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
759,Tokyo Godfathers,"Comedy, Drama"
6,Trigun,"Action, Comedy, Sci-Fi"
6864,xxxHOLiC Rou,"Mystery, Supernatural"
9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller"
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai"
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School"
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School"
962,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life"
1519,Black Lagoon: The Second Barrage,"Action, Seinen"
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
16706,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural"
5681,Summer Wars,"Comedy, Sci-Fi"
3901,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural"
6467,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen"
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller"
22507,Initial D Final Stage,"Cars, Seinen, Sports"
3701,Kaiba,"Adventure, Mystery, Romance, Sci-Fi"
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power"
33255,Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural"
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo"
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports"
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural"
4722,Skip Beat!,"Comedy, Drama, Romance, Shoujo"
24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports"
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller"
512,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance"
4477,Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life"
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power"
31174,Osomatsu-san,"Comedy, Parody"
23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space"
5365,Tsumiki no Ie,Drama
3702,Detroit Metal City,"Comedy, Music"
3167,Eve no Jikan,"Sci-Fi, Slice of Life"
7465,Eve no Jikan (Movie),"Sci-Fi, Slice of Life"
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo"
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen"
23283,Zankyou no Terror,"Psychological, Thriller"
2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power"
235,Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen"
1364,Detective Conan Movie 05: Countdown to Heaven,"Adventure, Comedy, Mystery, Police, Shounen"
18689,Diamond no Ace,"Comedy, School, Shounen, Sports"
22043,Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen"
31988,Hibike! Euphonium 2,"Drama, Music, School"
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural"
1453,Maison Ikkoku,"Comedy, Drama, Romance, Slice of Life"
23623,Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life"
1559,Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen"
1382,Yuusha-Ou GaoGaiGar Final,"Adventure, Drama, Mecha, Sci-Fi, Shounen"
23289,Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School"
18,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports"
4814,Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai"
16662,Kaze Tachinu,"Drama, Historical, Romance"
12031,Kingdom,"Action, Historical, Military, Seinen"
8129,Kuragehime,"Comedy, Josei, Slice of Life"
14513,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen"
2581,Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space"
30015,ReLIFE,"Romance, School, Slice of Life"
6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural"
1827,Seirei no Moribito,"Action, Adventure, Fantasy, Historical"
25013,Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo"
1367,Detective Conan Movie 08: Magician of the Silver Sky,"Adventure, Comedy, Mystery, Police, Shounen"
27833,Durarara!!x2 Ketsu,"Action, Mystery, Supernatural"
26213,Free!: Eternal Summer Special,"Comedy, School, Slice of Life"
1974,Glass no Kamen (2005),"Drama, Shoujo"
8425,Gosick,"Drama, Historical, Mystery, Romance"
12069,Hajime no Ippo: Boxer no Kobushi,"Comedy, Drama, Shounen, Sports"
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports"
18679,Kill la Kill,"Action, Comedy, School, Super Power"
2034,Lovely★Complex,"Comedy, Romance, Shoujo"
437,Perfect Blue,"Dementia, Drama, Horror, Psychological"
721,Princess Tutu,"Comedy, Fantasy, Magic, Romance"
12477,Sakasama no Patema,"Sci-Fi, Seinen"
4938,Tsubasa: Shunraiki,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural"
2402,Ashita no Joe,"Drama, Sports"
6702,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen"
1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen"
31741,Magi: Sinbad no Bouken (TV),"Action, Adventure, Fantasy, Magic, Shounen"
440,Shoujo Kakumei Utena,"Drama, Fantasy, Psychological, Shoujo"
4107,Tengen Toppa Gurren Lagann Movie: Gurren-hen,"Action, Comedy, Mecha"
1506,Detective Conan Movie 10: Requiem of the Detectives,"Adventure, Comedy, Mystery, Police, Shounen"
2759,Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi"
72,Full Metal Panic? Fumoffu,"Action, Comedy, School"
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,"Action, Drama, Military, Sci-Fi, Space"
3783,Kara no Kyoukai 3: Tsuukaku Zanryuu,"Action, Drama, Mystery, Supernatural, Thriller"
3927,Mobile Suit Gundam 00 Second Season,"Action, Drama, Mecha, Military, Sci-Fi, Space"
11597,Nisemonogatari,"Comedy, Mystery, Supernatural"
28025,Tsukimonogatari,"Comedy, Mystery, Supernatural"
24833,Ansatsu Kyoushitsu (TV),"Action, Comedy, School, Shounen"
29893,Aria The Avvenire,"Fantasy, Sci-Fi, Shounen, Slice of Life"
27663,Baby Steps 2nd Season,"Romance, School, Shounen, Sports"
1482,D.Gray-man,"Action, Adventure, Comedy, Shounen"
3371,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari","Action, Military, Sci-Fi, Space"
25313,Gintama: Jump Festa 2014 Special,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
1430,Lupin III: Cagliostro no Shiro,"Adventure, Comedy, Shounen"
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,"Action, Drama, Mecha, Sci-Fi, Space"
7720,Ookiku Furikabutte: Natsu no Taikai-hen,"Comedy, Sports"
1914,Saiunkoku Monogatari 2nd Season,"Adventure, Comedy, Drama, Fantasy, Historical, Romance"
20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"Comedy, Drama, Romance, Shounen Ai"
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,"Drama, Slice of Life, Supernatural"
2164,Dennou Coil,"Adventure, Comedy, Drama, Mystery, Sci-Fi"
237,Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi"
2449,Ghost in the Shell: Stand Alone Complex - The Laughing Man,"Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen"
10643,Gintama: Dai Hanseikai,"Action, Comedy, Parody, Samurai"
17739,Hidamari Sketch: Sae Hiro Sotsugyou-hen,"Comedy, School, Slice of Life"
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural"
6045,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life"
16001,Kokoro Connect: Michi Random,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
6211,Tokyo Magnitude 8.0,Drama
232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo"
4789,ef: A Tale of Melodies.,"Drama, Mystery, Romance, Supernatural"
16918,Gin no Saji,"Comedy, School, Shounen, Slice of Life"
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance"
1486,Kodomo no Omocha (TV),"Comedy, Drama, Romance, Shoujo"
24997,Love Live! The School Idol Movie,"Music, School, Slice of Life"
